voice,dtw,duration,zcr,wer,cer,label
64,7.0502,0.48,0.062,0.8571,0.2182,Bad
67,6.7234,3.488,0.0426,0.4762,0.1654,Bad
71,7.0237,1.504,0.0252,0.8333,0.2857,Bad
72,6.557,1.92,0.0403,0.7895,0.2319,Bad
76,7.4125,1.312,0.0125,0.6154,0.225,Bad
78,7.0241,2.464,0.0214,0.85,0.2612,Bad
80,7.3841,2.24,0.0209,0.75,0.25,Bad
83,7.5658,4.224,0.0048,0.3333,0.0909,Bad
84,7.0907,4.704,0.042,0.7857,0.2,Bad
85,7.1178,4.192,0.0464,0.5556,0.1509,Bad
92,6.9277,5.92,0.0366,0.6154,0.131,Bad
94,7.1272,4.416,0.0209,1.1111,0.3509,Bad
95,7.0641,6.4,0.0455,0.6842,0.1885,Bad
97,7.3196,4.736,0.0629,0.5,0.1398,Bad
102,7.3049,2.7599,0.0644,0.4,0.125,Bad
109,7.0409,2.784,0.0577,0.6429,0.1287,Bad
113,7.0817,4.64,0.0772,0.6667,0.1429,Bad
117,7.0458,2.784,0.0412,0.625,0.1633,Bad
118,6.9553,2.688,0.0797,0.7143,0.186,Bad
119,7.2208,4.128,0.0397,0.381,0.1016,Bad
121,7.2422,6.112,0.0142,0.6,0.2708,Bad
123,7.4085,7.36,0.036,0.6364,0.2361,Bad
132,7.1985,7.264,0.0376,0.7,0.2258,Bad
137,7.4729,6.304,0.0599,0.7059,0.2385,Bad
141,7.2856,2.848,0.064,0.8333,0.3,Bad
149,7.2713,3.712,0.0517,0.6667,0.1739,Bad
151,7.072,2.336,0.0426,0.3333,0.1818,Bad
154,7.2684,4.544,0.0298,0.6,0.209,Bad
165,7.063,6.048,0.0509,0.4286,0.1575,Bad
167,7.1864,2.336,0.047,0.6667,0.2143,Bad
64,6.3901,0.16,0.161,0.5714,0.1091,Good
67,6.472,1.504,0.1168,0.3333,0.1024,Good
71,7.0907,1.504,0.0879,0.4167,0.0595,Good
72,6.7464,1.664,0.1265,0.4211,0.1014,Good
76,6.5364,1.504,0.0764,0.2308,0.05,Good
78,6.5309,2.592,0.1283,0.35,0.1045,Good
80,6.2852,1.056,0.1777,0.375,0.0962,Good
83,7.013,1.408,0.1034,0.0,0.0,Good
84,6.453,2.848,0.1246,0.1429,0.0222,Good
85,6.8063,1.696,0.1291,0.0,0.0,Good
92,6.6464,0.096,0.0994,0.0769,0.0119,Good
94,6.698,0.48,0.1087,0.5556,0.0877,Good
95,6.996,1.28,0.1175,0.3684,0.0492,Good
97,6.3835,0.768,0.1184,0.0625,0.0108,Good
102,6.335,0.9679,0.1668,0.2,0.0312,Good
109,6.5322,0.864,0.0914,0.2143,0.0594,Good
113,6.759,0.48,0.1074,0.0,0.0,Good
117,6.8903,0.128,0.1186,0.125,0.0816,Good
118,6.5549,0.416,0.1667,0.0,0.0,Good
119,6.8811,1.536,0.0947,0.2381,0.0312,Good
121,6.7742,1.696,0.1015,0.0667,0.0104,Good
123,7.0361,1.504,0.0961,0.0,0.0,Good
132,7.1984,1.056,0.1286,0.4,0.129,Good
137,7.6661,0.192,0.0966,0.3529,0.0367,Good
141,5.9941,0.256,0.1682,0.1667,0.05,Good
149,6.6173,1.376,0.1041,0.1667,0.0522,Good
151,6.6131,0.576,0.0909,0.0,0.0,Good
154,6.866,2.24,0.0859,0.05,0.0149,Good
165,6.5841,2.624,0.1079,0.2381,0.0342,Good
167,7.0409,0.416,0.1176,0.2222,0.0357,Good
