voice,dtw,duration,zcr,wer,cer,label
64,7.0777,2.464,0.179,0.4286,0.1273,Bad
67,7.0468,7.904,0.1265,0.5238,0.1654,Bad
71,7.153,11.424,0.1208,0.8333,0.1548,Bad
72,7.1021,17.728,0.093,0.8947,0.2536,Bad
76,7.0031,5.92,0.083,0.5385,0.1,Bad
78,7.1175,12.448,0.0875,0.9,0.2164,Bad
80,7.2254,6.4,0.1408,0.625,0.1154,Bad
83,7.5962,7.52,0.0248,0.5,0.1515,Bad
84,7.0989,14.88,0.0838,0.9286,0.2,Bad
85,7.1803,5.088,0.1155,0.4444,0.0943,Bad
92,6.9981,13.504,0.1107,0.5385,0.1071,Bad
94,7.1719,13.024,0.1078,1.1111,0.3333,Bad
95,7.1868,15.072,0.1457,0.9474,0.2623,Bad
97,7.3312,14.144,0.0874,0.875,0.1935,Bad
102,7.169,6.8559,0.0871,1.0,0.25,Bad
109,7.2889,16.832,0.0857,0.9286,0.3762,Bad
113,7.1397,9.632,0.1462,0.5833,0.1429,Bad
117,7.3076,9.568,0.0705,0.875,0.2245,Bad
118,7.4783,5.632,0.1447,0.7143,0.2093,Bad
119,7.2546,22.624,0.1339,1.0,0.2656,Bad
121,6.9883,10.752,0.1193,0.5333,0.1146,Bad
123,7.1979,17.152,0.1265,1.0,0.2917,Bad
132,7.3983,23.424,0.0929,1.15,0.2903,Bad
137,7.3777,15.552,0.0661,1.4118,0.3945,Bad
141,7.3306,5.536,0.1539,0.8333,0.225,Bad
149,7.1326,13.536,0.1157,0.7778,0.2,Bad
151,7.23,5.184,0.1282,0.6667,0.2545,Bad
154,7.2626,19.712,0.0971,0.85,0.2761,Bad
165,7.1916,24.8,0.0956,0.8095,0.2877,Bad
167,7.3197,8.288,0.1127,0.8889,0.25,Bad
64,6.3901,0.16,0.161,0.7143,0.1455,Good
67,6.472,1.504,0.1168,0.3333,0.0866,Good
71,7.0907,1.504,0.0879,0.3333,0.0476,Good
72,6.7464,1.664,0.1265,0.4737,0.0725,Good
76,6.5364,1.504,0.0764,0.0769,0.0125,Good
78,6.5309,2.592,0.1283,0.25,0.0746,Good
80,6.2852,1.056,0.1777,0.25,0.0962,Good
83,7.013,1.408,0.1034,0.3333,0.0303,Good
84,6.453,2.848,0.1246,0.0714,0.0111,Good
85,6.8063,1.696,0.1291,0.1111,0.0377,Good
92,6.6464,0.096,0.0994,0.0,0.0,Good
94,6.698,0.48,0.1087,0.4444,0.0702,Good
95,6.996,1.28,0.1175,0.3684,0.0984,Good
97,6.3835,0.768,0.1184,0.3125,0.0645,Good
102,6.335,0.9679,0.1668,0.6,0.0938,Good
109,6.5322,0.864,0.0914,0.2143,0.0594,Good
113,6.759,0.48,0.1074,0.25,0.0429,Good
117,6.8903,0.128,0.1186,0.25,0.102,Good
118,6.5549,0.416,0.1667,0.0,0.0,Good
119,6.8811,1.536,0.0947,0.3333,0.0469,Good
121,6.7742,1.696,0.1015,0.1333,0.0208,Good
123,7.0361,1.504,0.0961,0.1818,0.0139,Good
132,7.1984,1.056,0.1286,0.3,0.0887,Good
137,7.6661,0.192,0.0966,0.4118,0.055,Good
141,5.9941,0.256,0.1682,0.0,0.0,Good
149,6.6173,1.376,0.1041,0.2222,0.087,Good
151,6.6131,0.576,0.0909,0.0,0.0,Good
154,6.866,2.24,0.0859,0.3,0.0299,Good
165,6.5841,2.624,0.1079,0.1429,0.0274,Good
167,7.0409,0.416,0.1176,0.2222,0.0357,Good
